"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.790728125E0,1.706413994E0,9.397685342E0,2.261250440E0,9.815375289E0
2.800731125E0,1.701277361E0,8.920083598E0,1.945187969E0,9.286872041E0
2.810734125E0,1.896696717E0,8.426311380E0,1.333119560E0,8.739415865E0
2.820737125E0,1.941996997E0,8.051670917E0,7.963369775E-1,8.320751738E0
2.830740125E0,1.592627470E0,7.762475232E0,1.146007490E-1,7.924999516E0
2.840743125E0,1.152850487E0,7.519084881E0,-4.960520482E-1,7.623107590E0
2.850746125E0,9.445595089E-1,6.711083878E0,-1.282749306E0,6.897556470E0
2.860749125E0,3.287085369E-2,2.457229228E0,-7.469211055E0,7.863089072E0
2.870752125E0,-2.136472173E0,-4.204388375E0,-1.646957049E1,1.713149577E1
2.880755125E0,-5.521420491E-1,-3.918461868E0,-9.711184394E0,1.048648209E1
2.890758125E0,-3.580374397E-1,-4.490890247E0,-4.069954455E0,6.071310838E0
2.900761125E0,-3.778099456E0,-9.482681054E0,-2.609840387E0,1.053596423E1
2.910764125E0,-8.142212128E0,-1.782587543E1,-1.367957271E0,1.964506962E1
2.920767125E0,-9.861223948E0,-2.532664391E1,1.892751893E0,2.724454329E1
2.930770125E0,-8.503620926E0,-2.932942555E1,6.422095184E0,3.120528927E1
2.940773125E0,-4.786346546E0,-2.693643851E1,8.408866796E0,2.862149321E1
2.950776125E0,-7.950318059E-1,-2.245887699E1,5.637439774E0,2.316924597E1
2.960779125E0,6.515212532E-1,-2.142857655E1,3.240982997E0,2.168207424E1
2.970782125E0,8.207563388E-1,-2.196693905E1,2.334279824E0,2.210585701E1
2.980786125E0,1.158232556E0,-2.217961164E1,1.896088314E0,2.229062193E1
2.990789125E0,7.358932860E-1,-2.097057116E1,-5.220627292E-1,2.098997244E1
3.000792125E0,-1.272015280E0,-1.990779060E1,-3.030526503E0,2.017727039E1
3.010795125E0,-3.622035809E0,-1.944981562E1,-4.040552316E0,2.019258612E1
3.020798125E0,-5.272781678E0,-1.774723038E1,-4.533656198E0,1.906096670E1
3.030801125E0,-5.779508404E0,-1.561547004E1,-4.848152200E0,1.734215101E1
3.040804125E0,-5.582644932E0,-1.415107347E1,-4.737711160E0,1.593313252E1
3.050807125E0,-5.021071908E0,-1.266905573E1,-4.232946761E0,1.427003765E1
3.060810125E0,-3.855221600E0,-1.067310282E1,-3.509666065E0,1.187836745E1
3.070813125E0,-2.334162588E0,-8.162466883E0,-2.898899247E0,8.970941837E0
3.080816125E0,-9.426731971E-1,-5.586750847E0,-2.652419811E0,6.255857146E0
3.090819125E0,9.137473136E-2,-3.226355018E0,-2.630513218E0,4.163810254E0
3.100822125E0,9.671709841E-1,-1.252188833E0,-2.470746236E0,2.933936528E0
3.110825125E0,1.622866930E0,3.714537299E-1,-1.752459063E0,2.417185908E0
3.120828125E0,1.991176904E0,1.910447906E0,-9.151138079E-1,2.907237512E0
3.130831125E0,2.342541063E0,3.558667486E0,-1.207585249E-1,4.262182015E0
3.140834125E0,2.886036834E0,5.578985744E0,8.040482855E-1,6.332517997E0
3.150837125E0,3.888740179E0,7.728730951E0,1.507666549E0,8.782291313E0
3.160841125E0,4.857775840E0,9.191742899E0,1.764607092E0,1.054513925E1
